material,particle type,energy (MeV),fluence (e/cm^2),I_01,I_02,n,N_A,V_b,L_n,L_p
GaAs,electron,1,1.00E+15,1.70E-14,2.44E-08,1.95,4.82E+16,1.30,4.40,0.06
GaAs,electron,1,5.00E+15,6.88E-14,5.96E-08,1.85,4.67E+16,1.28,1.00,0.05
GaAs,electron,1,1.00E+16,8.12E-14,1.13E-07,1.83,4.57E+16,1.25,0.65,0.04
GaAs,electron,1,2.00E+16,1.31E-13,1.91E-07,1.81,4.37E+16,1.23,0.42,0.03
GaAs,electron,3,0,1.00E-16,1.30E-08,2.00,4.80E+16,1.32,8.00,0.15
GaAs,electron,3,1.00E+14,3.60E-15,1.20E-08,1.83,4.80E+16,1.31,6.00,0.11
GaAs,electron,3,1.00E+15,1.30E-14,7.10E-08,1.78,4.70E+16,1.30,1.40,0.06
GaAs,electron,3,2.00E+15,1.40E-14,1.30E-07,1.77,4.60E+16,1.30,0.85,0.05
GaAs,electron,3,5.00E+15,,2.80E-07,1.76,4.40E+16,1.26,0.48,0.03
GaAs,electron,3,1.00E+16,,5.90E-07,1.74,3.80E+16,1.18,0.33,0.02
GaAs,proton,1,5.00E+10,,7.37E-08,1.93,4.84E+16,1.33,7.50,0.10
GaAs,proton,1,1.00E+12,,1.03E-06,1.90,4.81E+16,1.32,1.00,0.06
GaAs,proton,1,3.00E+12,,2.80E-06,1.90,4.60E+16,1.30,0.52,0.04
GaAs,proton,1,1.00E+13,,9.42E-06,1.89,3.95E+16,1.21,0.24,0.01
